action_swap_path,frame_num,label_A,label_B,predicted_label,predicted_score,human_action_rank,human_action_score,background_action_rank,background_action_score,human_top1,human_top5,background_top1,background_top5,background_wins,ranking_gap,score_gap,top10_predictions
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000000_deadlifting_to_juggling soccer ball_f8dp7wR4GWg_000003_000013_bg_MCV13GHst20_000002_000012,50,deadlifting,juggling soccer ball,skipping rope,0.5953831076622009,6,0.031813643872737885,11,0.017855608835816383,False,False,False,False,False,5,-0.013958035036921501,"['skipping rope', 'dribbling basketball', 'climbing a rope', 'hurdling', 'shooting goal (soccer)', 'deadlifting', 'clean and jerk', 'skiing slalom', 'climbing ladder', 'playing basketball']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000004_smoking_to_deadlifting_EbRJ9qx31AM_000016_000026_bg_zplKZpwToWc_000000_000010,50,smoking,deadlifting,brushing hair,0.5028714537620544,12,0.022376660257577896,29,0.0027213047724217176,False,False,False,False,False,17,-0.01965535548515618,"['brushing hair', 'playing accordion', 'bowling', 'drinking', 'tying tie', 'opening bottle', 'juggling soccer ball', 'eating ice cream', 'eating cake', 'driving car']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000008_playing trumpet_to_hitting baseball_-BtzVCzSnLk_000073_000083_bg_w-AQcjcoDyA_000114_000124,50,playing trumpet,hitting baseball,climbing a rope,0.24976442754268646,30,0.0010694670490920544,4,0.11472449451684952,False,False,False,True,True,-26,0.11365502746775746,"['climbing a rope', 'juggling soccer ball', 'juggling balls', 'hitting baseball', 'catching or throwing baseball', 'punching person (boxing)', 'dunking basketball', 'cleaning windows', 'skipping rope', 'playing tennis']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000012_tying tie_to_drinking_ecNLf37mews_000012_000022_bg_s-vLJUmPmhA_000109_000119,50,tying tie,drinking,tying tie,0.9928049445152283,1,0.9928049445152283,18,8.266826625913382e-05,True,True,False,False,False,17,-0.9927222762489691,"['tying tie', 'juggling soccer ball', 'juggling balls', 'playing accordion', 'brushing teeth', 'playing piano', 'playing saxophone', 'opening bottle', 'writing', 'skipping rope']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000016_shooting basketball_to_hurdling_j8i_2Hz1XHA_000003_000013_bg_AYHbK7Ba50A_000078_000088,50,shooting basketball,hurdling,flying kite,0.23998449742794037,19,0.003422013483941555,4,0.10586446523666382,False,False,False,True,True,-15,0.10244245175272226,"['flying kite', 'shooting goal (soccer)', 'catching or throwing frisbee', 'hurdling', 'juggling soccer ball', 'skiing slalom', 'skipping rope', 'catching or throwing baseball', 'playing trumpet', 'hitting baseball']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000020_eating ice cream_to_sword fighting_GQQ3s4O_-HY_000006_000016_bg_VoX60Mfn15k_000007_000017,50,eating ice cream,sword fighting,eating ice cream,0.3508170545101166,1,0.3508170545101166,24,0.0014428140129894018,True,True,False,False,False,23,-0.3493742404971272,"['eating ice cream', 'opening bottle', 'brushing teeth', 'eating cake', 'brushing hair', 'playing violin', 'playing saxophone', 'drinking', 'climbing a rope', 'playing accordion']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000024_dunking basketball_to_flying kite_f0H5AVFMHrg_000000_000010_bg_07xOT83TIG4_000040_000050,50,dunking basketball,flying kite,flying kite,0.9827579855918884,14,0.0001268260966753587,1,0.9827579855918884,False,False,True,True,True,-13,0.9826311594952131,"['flying kite', 'shooting goal (soccer)', 'juggling balls', 'juggling soccer ball', 'catching or throwing frisbee', 'archery', 'playing volleyball', 'skipping rope', 'dribbling basketball', 'sword fighting']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000028_climbing ladder_to_canoeing or kayaking_qWr7plHuEtE_000024_000034_bg_2ENSwCFJ07A_000016_000026,50,climbing ladder,canoeing or kayaking,surfing water,0.6904858946800232,24,0.0002310268464498222,2,0.19668865203857422,False,False,False,True,True,-22,0.1964576251921244,"['surfing water', 'canoeing or kayaking', 'catching or throwing frisbee', 'flying kite', 'skiing slalom', 'juggling soccer ball', 'catching or throwing baseball', 'skiing (not slalom or crosscountry)', 'shooting goal (soccer)', 'sword fighting']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000032_shooting goal (soccer)_to_catching or throwing frisbee_YAmbVR1n56c_000144_000154_bg_MsfeeRqyaa4_000003_000013,50,shooting goal (soccer),catching or throwing frisbee,juggling soccer ball,0.8006722331047058,3,0.036223653703927994,4,0.033994849771261215,False,True,False,True,False,1,-0.0022288039326667786,"['juggling soccer ball', 'deadlifting', 'shooting goal (soccer)', 'catching or throwing frisbee', 'juggling balls', 'clean and jerk', 'skipping rope', 'dribbling basketball', 'playing basketball', 'catching or throwing baseball']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000036_playing piano_to_driving car_9o68AyEWzcM_000081_000091_bg_tVuop87KbDY_000011_000021,50,playing piano,driving car,surfing water,0.7199370265007019,12,0.008786404505372047,15,0.00611394876614213,False,False,False,False,False,3,-0.0026724557392299175,"['surfing water', 'canoeing or kayaking', 'climbing a rope', 'brushing hair', 'playing violin', 'sword fighting', 'drinking', 'opening bottle', 'cleaning windows', 'brushing teeth']"
