class,pred_human,pred_background,total,human_acc,background_error
waxing back,0,2,3,0.0,0.6666666666666666
windsurfing,0,4,8,0.0,0.5
building shed,0,4,9,0.0,0.4444444444444444
swimming butterfly stroke,0,4,11,0.0,0.3636363636363636
riding mule,0,5,14,0.0,0.3571428571428571
riding or walking with horse,0,6,17,0.0,0.3529411764705882
egg hunting,0,17,52,0.0,0.3269230769230769
playing paintball,8,9,29,0.2758620689655172,0.3103448275862069
cutting nails,1,7,23,0.0434782608695652,0.3043478260869565
surfing water,0,3,10,0.0,0.3
crying,0,4,14,0.0,0.2857142857142857
riding scooter,1,6,21,0.0476190476190476,0.2857142857142857
playing tennis,2,4,14,0.1428571428571428,0.2857142857142857
cleaning shoes,0,9,32,0.0,0.28125
getting a tattoo,3,5,18,0.1666666666666666,0.2777777777777778
skateboarding,0,9,33,0.0,0.2727272727272727
jumping into pool,1,6,22,0.0454545454545454,0.2727272727272727
cleaning windows,0,13,48,0.0,0.2708333333333333
playing ice hockey,5,10,37,0.1351351351351351,0.2702702702702703
cartwheeling,0,11,41,0.0,0.2682926829268293
gymnastics tumbling,0,4,15,0.0,0.2666666666666666
slacklining,0,12,45,0.0,0.2666666666666666
shooting basketball,0,8,31,0.0,0.2580645161290322
bouncing on trampoline,0,10,39,0.0,0.2564102564102564
playing cards,0,14,55,0.0,0.2545454545454545
making snowman,0,18,71,0.0,0.2535211267605634
wrapping present,1,23,91,0.0109890109890109,0.2527472527472527
playing piano,3,29,115,0.0260869565217391,0.2521739130434782
bungee jumping,0,1,4,0.0,0.25
parkour,0,2,8,0.0,0.25
folding napkins,1,12,49,0.0204081632653061,0.2448979591836734
hitting baseball,5,16,66,0.0757575757575757,0.2424242424242424
drawing,0,8,33,0.0,0.2424242424242424
skiing crosscountry,0,7,29,0.0,0.2413793103448276
cutting watermelon,0,16,67,0.0,0.2388059701492537
playing controller,0,10,42,0.0,0.238095238095238
scuba diving,1,8,34,0.0294117647058823,0.2352941176470588
dunking basketball,4,7,30,0.1333333333333333,0.2333333333333333
rock scissors paper,1,10,43,0.0232558139534883,0.2325581395348837
throwing axe,1,15,65,0.0153846153846153,0.2307692307692307
cooking chicken,0,6,26,0.0,0.2307692307692307
bookbinding,0,16,70,0.0,0.2285714285714285
waiting in line,0,5,22,0.0,0.2272727272727272
sign language interpreting,14,17,76,0.1842105263157894,0.2236842105263158
checking tires,0,17,76,0.0,0.2236842105263158
reading newspaper,0,17,76,0.0,0.2236842105263158
playing monopoly,0,8,36,0.0,0.2222222222222222
mopping floor,0,17,77,0.0,0.2207792207792207
clay pottery making,1,17,77,0.0129870129870129,0.2207792207792207
catching fish,0,9,41,0.0,0.2195121951219512
playing squash or racquetball,1,7,32,0.03125,0.21875
golf putting,0,12,56,0.0,0.2142857142857142
carving pumpkin,0,9,42,0.0,0.2142857142857142
dancing ballet,11,19,89,0.1235955056179775,0.2134831460674157
bowling,0,10,47,0.0,0.2127659574468085
hula hooping,3,18,85,0.0352941176470588,0.2117647058823529
grooming dog,0,8,38,0.0,0.2105263157894736
blowing leaves,0,4,19,0.0,0.2105263157894736
plastering,1,13,62,0.0161290322580645,0.2096774193548387
cracking neck,3,5,24,0.125,0.2083333333333333
hockey stop,1,5,24,0.0416666666666666,0.2083333333333333
garbage collecting,0,5,24,0.0,0.2083333333333333
shot put,0,15,72,0.0,0.2083333333333333
tying tie,0,5,24,0.0,0.2083333333333333
climbing ladder,0,11,53,0.0,0.2075471698113207
rock climbing,0,6,29,0.0,0.2068965517241379
riding unicycle,0,7,34,0.0,0.2058823529411764
tasting beer,4,17,83,0.0481927710843373,0.2048192771084337
somersaulting,0,9,44,0.0,0.2045454545454545
writing,0,10,49,0.0,0.2040816326530612
using segway,2,10,49,0.0408163265306122,0.2040816326530612
laying bricks,0,13,64,0.0,0.203125
watering plants,0,15,74,0.0,0.2027027027027027
snatch weight lifting,0,16,79,0.0,0.2025316455696202
playing drums,0,18,89,0.0,0.2022471910112359
deadlifting,0,21,104,0.0,0.2019230769230769
tying bow tie,2,6,30,0.0666666666666666,0.2
hammer throw,0,5,25,0.0,0.2
long jump,1,10,50,0.02,0.2
celebrating,0,7,35,0.0,0.2
throwing ball,1,15,75,0.0133333333333333,0.2
bartending,0,19,95,0.0,0.2
petting cat,0,9,45,0.0,0.2
golf driving,3,19,95,0.031578947368421,0.2
cutting pineapple,1,13,66,0.0151515151515151,0.1969696969696969
climbing a rope,0,10,51,0.0,0.196078431372549
playing organ,1,16,82,0.0121951219512195,0.1951219512195122
pumping fist,0,8,41,0.0,0.1951219512195122
ice skating,4,8,41,0.0975609756097561,0.1951219512195122
changing oil,0,7,36,0.0,0.1944444444444444
sled dog racing,0,5,26,0.0,0.1923076923076923
kissing,8,5,26,0.3076923076923077,0.1923076923076923
riding camel,0,9,47,0.0,0.1914893617021276
bandaging,0,4,21,0.0,0.1904761904761904
making bed,2,11,58,0.0344827586206896,0.1896551724137931
drinking beer,3,11,58,0.0517241379310344,0.1896551724137931
wrestling,5,18,95,0.0526315789473684,0.1894736842105263
dining,0,10,53,0.0,0.1886792452830188
spinning poi,0,10,53,0.0,0.1886792452830188
applying cream,4,6,32,0.125,0.1875
mowing lawn,0,3,16,0.0,0.1875
