label,youtube_id,full_path,num_files,time_start,time_end
playing guitar,0ELymxVtE0g,/n/fs/visualai-scr/Data/HAT2/seg/playing guitar/0ELymxVtE0g_000056_000066,300,56,66
playing guitar,POuKTCa6BgA,/n/fs/visualai-scr/Data/HAT2/seg/playing guitar/POuKTCa6BgA_000080_000090,300,80,90
playing guitar,Ua_8t0VNszU,/n/fs/visualai-scr/Data/HAT2/seg/playing guitar/Ua_8t0VNszU_000072_000082,300,72,82
playing guitar,ysjCIR7SkJU,/n/fs/visualai-scr/Data/HAT2/seg/playing guitar/ysjCIR7SkJU_000141_000151,300,141,151
playing guitar,-PbHg505GzE,/n/fs/visualai-scr/Data/HAT2/seg/playing guitar/-PbHg505GzE_000000_000010,300,0,10
playing guitar,pf9p9xRQEjA,/n/fs/visualai-scr/Data/HAT2/seg/playing guitar/pf9p9xRQEjA_000100_000110,300,100,110
playing guitar,w3FrNMmFPFM,/n/fs/visualai-scr/Data/HAT2/seg/playing guitar/w3FrNMmFPFM_000082_000092,273,82,92
playing guitar,TdtqFhru4mA,/n/fs/visualai-scr/Data/HAT2/seg/playing guitar/TdtqFhru4mA_000060_000070,300,60,70
playing guitar,x8cwzO6u_7c,/n/fs/visualai-scr/Data/HAT2/seg/playing guitar/x8cwzO6u_7c_000090_000100,300,90,100
playing guitar,bu2qsevGqJQ,/n/fs/visualai-scr/Data/HAT2/seg/playing guitar/bu2qsevGqJQ_000143_000153,300,143,153
playing guitar,Bd0dqJ1ac0w,/n/fs/visualai-scr/Data/HAT2/seg/playing guitar/Bd0dqJ1ac0w_000006_000016,300,6,16
playing guitar,wmWCtlyvzWM,/n/fs/visualai-scr/Data/HAT2/seg/playing guitar/wmWCtlyvzWM_000113_000123,300,113,123
playing guitar,MSM0T9LuUOE,/n/fs/visualai-scr/Data/HAT2/seg/playing guitar/MSM0T9LuUOE_000012_000022,300,12,22
playing guitar,fp8xB76kvCQ,/n/fs/visualai-scr/Data/HAT2/seg/playing guitar/fp8xB76kvCQ_000169_000179,300,169,179
playing guitar,HxTahS46yrs,/n/fs/visualai-scr/Data/HAT2/seg/playing guitar/HxTahS46yrs_000339_000349,300,339,349
playing guitar,p0pp-37fOdo,/n/fs/visualai-scr/Data/HAT2/seg/playing guitar/p0pp-37fOdo_000123_000133,300,123,133
playing guitar,nqN8z4pyRzs,/n/fs/visualai-scr/Data/HAT2/seg/playing guitar/nqN8z4pyRzs_000261_000271,300,261,271
playing guitar,2gBacDt9k0Y,/n/fs/visualai-scr/Data/HAT2/seg/playing guitar/2gBacDt9k0Y_000026_000036,300,26,36
playing guitar,RN-9jbSuO-U,/n/fs/visualai-scr/Data/HAT2/seg/playing guitar/RN-9jbSuO-U_000157_000167,300,157,167
playing guitar,QjgnG9WpMBE,/n/fs/visualai-scr/Data/HAT2/seg/playing guitar/QjgnG9WpMBE_000020_000030,301,20,30
playing guitar,uvsjCiCNZi4,/n/fs/visualai-scr/Data/HAT2/seg/playing guitar/uvsjCiCNZi4_000045_000055,301,45,55
playing guitar,EOQ0ST_d6mQ,/n/fs/visualai-scr/Data/HAT2/seg/playing guitar/EOQ0ST_d6mQ_000074_000084,300,74,84
playing guitar,H7RA7onD_P8,/n/fs/visualai-scr/Data/HAT2/seg/playing guitar/H7RA7onD_P8_000081_000091,300,81,91
playing guitar,0SDy6ZObNdE,/n/fs/visualai-scr/Data/HAT2/seg/playing guitar/0SDy6ZObNdE_000415_000425,300,415,425
playing guitar,3SCjuPlRP2M,/n/fs/visualai-scr/Data/HAT2/seg/playing guitar/3SCjuPlRP2M_000227_000237,300,227,237
playing guitar,eoGt3l3BZ7w,/n/fs/visualai-scr/Data/HAT2/seg/playing guitar/eoGt3l3BZ7w_000163_000173,301,163,173
