path_seg_A,path_original_A,path_inpaint_B,path_original_B,num_files_A,num_files_B,label_A,label_B,yt_id_A,time_start_A,time_end_A,yt_id_B,time_start_B,time_end_B,action_swap_path,hasPerson,segmented_path,bboxes_info,bbox_vis_path
/n/fs/visualai-scr/Data/HAT2/seg/deadlifting/f8dp7wR4GWg_000003_000013,/n/fs/visualai-scr/Data/HAT2/original/deadlifting/f8dp7wR4GWg_000003_000013,/n/fs/visualai-scr/Data/HAT2/inpaint/juggling soccer ball/MCV13GHst20_000002_000012,/n/fs/visualai-scr/Data/HAT2/original/juggling soccer ball/MCV13GHst20_000002_000012,300,286,deadlifting,juggling soccer ball,f8dp7wR4GWg,3,13,MCV13GHst20,2,12,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/sample_000000_deadlifting_to_juggling soccer ball_f8dp7wR4GWg_000003_000013_bg_MCV13GHst20_000002_000012,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/segmented_action_swap/sample_000000_deadlifting_to_juggling soccer ball_f8dp7wR4GWg_3_13_bg_MCV13GHst20_2_12,"[{'class': 'person', 'confidence': 0.9051137566566467, 'bbox': [582.757080078125, 142.19415283203125, 872.861083984375, 597.619384765625]}]",dataset/segmented_action_swap/sample_000000_deadlifting_to_juggling soccer ball_f8dp7wR4GWg_3_13_bg_MCV13GHst20_2_12/bbox_img/bbox_image.jpg
/n/fs/visualai-scr/Data/HAT2/seg/reading book/F6Z0vch07n8_000036_000046,/n/fs/visualai-scr/Data/HAT2/original/reading book/F6Z0vch07n8_000036_000046,/n/fs/visualai-scr/Data/HAT2/inpaint/catching or throwing baseball/eECGtFjKTY8_000018_000028,/n/fs/visualai-scr/Data/HAT2/original/catching or throwing baseball/eECGtFjKTY8_000018_000028,300,300,reading book,catching or throwing baseball,F6Z0vch07n8,36,46,eECGtFjKTY8,18,28,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/sample_000001_reading book_to_catching or throwing baseball_F6Z0vch07n8_000036_000046_bg_eECGtFjKTY8_000018_000028,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/segmented_action_swap/sample_000001_reading book_to_catching or throwing baseball_F6Z0vch07n8_36_46_bg_eECGtFjKTY8_18_28,"[{'class': 'person', 'confidence': 0.8287210464477539, 'bbox': [303.75390625, 9.60888671875, 982.1826171875, 676.08642578125]}]",dataset/segmented_action_swap/sample_000001_reading book_to_catching or throwing baseball_F6Z0vch07n8_36_46_bg_eECGtFjKTY8_18_28/bbox_img/bbox_image.jpg
/n/fs/visualai-scr/Data/HAT2/seg/playing piano/6Mc8e7lgJtk_000011_000021,/n/fs/visualai-scr/Data/HAT2/original/playing piano/6Mc8e7lgJtk_000011_000021,/n/fs/visualai-scr/Data/HAT2/inpaint/dunking basketball/Bl28qY8T6NA_000045_000055,/n/fs/visualai-scr/Data/HAT2/original/dunking basketball/Bl28qY8T6NA_000045_000055,300,300,playing piano,dunking basketball,6Mc8e7lgJtk,11,21,Bl28qY8T6NA,45,55,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/sample_000003_playing piano_to_dunking basketball_6Mc8e7lgJtk_000011_000021_bg_Bl28qY8T6NA_000045_000055,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/segmented_action_swap/sample_000003_playing piano_to_dunking basketball_6Mc8e7lgJtk_11_21_bg_Bl28qY8T6NA_45_55,"[{'class': 'person', 'confidence': 0.9159843921661377, 'bbox': [502.1099853515625, 3.56732177734375, 967.1671142578125, 712.7698974609375]}, {'class': 'person', 'confidence': 0.8955552577972412, 'bbox': [989.0386352539062, 2.3689117431640625, 1279.34716796875, 469.15966796875]}, {'class': 'person', 'confidence': 0.8878694176673889, 'bbox': [469.50018310546875, 1.462371826171875, 644.2564086914062, 191.41697692871094]}, {'class': 'person', 'confidence': 0.8034456372261047, 'bbox': [0.42147064208984375, 1.0947341918945312, 126.17570495605469, 66.20928955078125]}, {'class': 'person', 'confidence': 0.5204373002052307, 'bbox': [909.576416015625, 0.6531982421875, 1066.66162109375, 269.3509521484375]}, {'class': 'person', 'confidence': 0.4283899962902069, 'bbox': [362.068359375, 0.16454696655273438, 440.25848388671875, 105.17950439453125]}]",dataset/segmented_action_swap/sample_000003_playing piano_to_dunking basketball_6Mc8e7lgJtk_11_21_bg_Bl28qY8T6NA_45_55/bbox_img/bbox_image.jpg
/n/fs/visualai-scr/Data/HAT2/seg/smoking/EbRJ9qx31AM_000016_000026,/n/fs/visualai-scr/Data/HAT2/original/smoking/EbRJ9qx31AM_000016_000026,/n/fs/visualai-scr/Data/HAT2/inpaint/deadlifting/zplKZpwToWc_000000_000010,/n/fs/visualai-scr/Data/HAT2/original/deadlifting/zplKZpwToWc_000000_000010,301,300,smoking,deadlifting,EbRJ9qx31AM,16,26,zplKZpwToWc,0,10,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/sample_000004_smoking_to_deadlifting_EbRJ9qx31AM_000016_000026_bg_zplKZpwToWc_000000_000010,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/segmented_action_swap/sample_000004_smoking_to_deadlifting_EbRJ9qx31AM_16_26_bg_zplKZpwToWc_0_10,"[{'class': 'person', 'confidence': 0.8897283673286438, 'bbox': [103.56803894042969, 0.0, 474.5768737792969, 358.23211669921875]}]",dataset/segmented_action_swap/sample_000004_smoking_to_deadlifting_EbRJ9qx31AM_16_26_bg_zplKZpwToWc_0_10/bbox_img/bbox_image.jpg
/n/fs/visualai-scr/Data/HAT2/seg/dunking basketball/IbhU85-DEic_000007_000017,/n/fs/visualai-scr/Data/HAT2/original/dunking basketball/IbhU85-DEic_000007_000017,/n/fs/visualai-scr/Data/HAT2/inpaint/playing piano/ErtSFRpSeDA_000088_000098,/n/fs/visualai-scr/Data/HAT2/original/playing piano/ErtSFRpSeDA_000088_000098,302,301,dunking basketball,playing piano,IbhU85-DEic,7,17,ErtSFRpSeDA,88,98,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/sample_000005_dunking basketball_to_playing piano_IbhU85-DEic_000007_000017_bg_ErtSFRpSeDA_000088_000098,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/segmented_action_swap/sample_000005_dunking basketball_to_playing piano_IbhU85-DEic_7_17_bg_ErtSFRpSeDA_88_98,"[{'class': 'person', 'confidence': 0.3195549547672272, 'bbox': [332.5664978027344, 184.87579345703125, 479.64678955078125, 359.4765625]}]",dataset/segmented_action_swap/sample_000005_dunking basketball_to_playing piano_IbhU85-DEic_7_17_bg_ErtSFRpSeDA_88_98/bbox_img/bbox_image.jpg
/n/fs/visualai-scr/Data/HAT2/seg/sweeping floor/ZmcFe0bj7N0_000031_000041,/n/fs/visualai-scr/Data/HAT2/original/sweeping floor/ZmcFe0bj7N0_000031_000041,/n/fs/visualai-scr/Data/HAT2/inpaint/playing guitar/PWk72vKZQNU_000071_000081,/n/fs/visualai-scr/Data/HAT2/original/playing guitar/PWk72vKZQNU_000071_000081,300,300,sweeping floor,playing guitar,ZmcFe0bj7N0,31,41,PWk72vKZQNU,71,81,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/sample_000006_sweeping floor_to_playing guitar_ZmcFe0bj7N0_000031_000041_bg_PWk72vKZQNU_000071_000081,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/segmented_action_swap/sample_000006_sweeping floor_to_playing guitar_ZmcFe0bj7N0_31_41_bg_PWk72vKZQNU_71_81,"[{'class': 'person', 'confidence': 0.743166446685791, 'bbox': [121.3125991821289, 8.9615478515625, 203.47567749023438, 358.4444274902344]}]",dataset/segmented_action_swap/sample_000006_sweeping floor_to_playing guitar_ZmcFe0bj7N0_31_41_bg_PWk72vKZQNU_71_81/bbox_img/bbox_image.jpg
/n/fs/visualai-scr/Data/HAT2/seg/playing trumpet/-BtzVCzSnLk_000073_000083,/n/fs/visualai-scr/Data/HAT2/original/playing trumpet/-BtzVCzSnLk_000073_000083,/n/fs/visualai-scr/Data/HAT2/inpaint/hitting baseball/w-AQcjcoDyA_000114_000124,/n/fs/visualai-scr/Data/HAT2/original/hitting baseball/w-AQcjcoDyA_000114_000124,300,300,playing trumpet,hitting baseball,-BtzVCzSnLk,73,83,w-AQcjcoDyA,114,124,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/sample_000008_playing trumpet_to_hitting baseball_-BtzVCzSnLk_000073_000083_bg_w-AQcjcoDyA_000114_000124,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/segmented_action_swap/sample_000008_playing trumpet_to_hitting baseball_-BtzVCzSnLk_73_83_bg_w-AQcjcoDyA_114_124,"[{'class': 'person', 'confidence': 0.8764846324920654, 'bbox': [65.3607177734375, 36.548240661621094, 269.5009460449219, 239.66921997070312]}]",dataset/segmented_action_swap/sample_000008_playing trumpet_to_hitting baseball_-BtzVCzSnLk_73_83_bg_w-AQcjcoDyA_114_124/bbox_img/bbox_image.jpg
/n/fs/visualai-scr/Data/HAT2/seg/catching or throwing baseball/LQH6hZT6ZbI_000116_000126,/n/fs/visualai-scr/Data/HAT2/original/catching or throwing baseball/LQH6hZT6ZbI_000116_000126,/n/fs/visualai-scr/Data/HAT2/inpaint/climbing ladder/93sxC_WUAOs_000096_000106,/n/fs/visualai-scr/Data/HAT2/original/climbing ladder/93sxC_WUAOs_000096_000106,300,300,catching or throwing baseball,climbing ladder,LQH6hZT6ZbI,116,126,93sxC_WUAOs,96,106,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/sample_000009_catching or throwing baseball_to_climbing ladder_LQH6hZT6ZbI_000116_000126_bg_93sxC_WUAOs_000096_000106,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/segmented_action_swap/sample_000009_catching or throwing baseball_to_climbing ladder_LQH6hZT6ZbI_116_126_bg_93sxC_WUAOs_96_106,"[{'class': 'person', 'confidence': 0.9266791343688965, 'bbox': [331.46417236328125, 182.24038696289062, 661.2208251953125, 718.9649047851562]}, {'class': 'baseball glove', 'confidence': 0.836014449596405, 'bbox': [517.7894897460938, 455.6899108886719, 632.751708984375, 579.804931640625]}]",dataset/segmented_action_swap/sample_000009_catching or throwing baseball_to_climbing ladder_LQH6hZT6ZbI_116_126_bg_93sxC_WUAOs_96_106/bbox_img/bbox_image.jpg
/n/fs/visualai-scr/Data/HAT2/seg/climbing a rope/miHEwIXio_c_000035_000045,/n/fs/visualai-scr/Data/HAT2/original/climbing a rope/miHEwIXio_c_000035_000045,/n/fs/visualai-scr/Data/HAT2/inpaint/skiing (not slalom or crosscountry)/XNJ7LUGL13I_000006_000016,/n/fs/visualai-scr/Data/HAT2/original/skiing (not slalom or crosscountry)/XNJ7LUGL13I_000006_000016,300,300,climbing a rope,skiing (not slalom or crosscountry),miHEwIXio_c,35,45,XNJ7LUGL13I,6,16,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/sample_000011_climbing a rope_to_skiing (not slalom or crosscountry)_miHEwIXio_c_000035_000045_bg_XNJ7LUGL13I_000006_000016,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/segmented_action_swap/sample_000011_climbing a rope_to_skiing (not slalom or crosscountry)_miHEwIXio_c_35_45_bg_XNJ7LUGL13I_6_16,"[{'class': 'person', 'confidence': 0.8389062881469727, 'bbox': [90.51541137695312, 76.09908294677734, 184.26806640625, 221.00120544433594]}]",dataset/segmented_action_swap/sample_000011_climbing a rope_to_skiing (not slalom or crosscountry)_miHEwIXio_c_35_45_bg_XNJ7LUGL13I_6_16/bbox_img/bbox_image.jpg
/n/fs/visualai-scr/Data/HAT2/seg/tying tie/ecNLf37mews_000012_000022,/n/fs/visualai-scr/Data/HAT2/original/tying tie/ecNLf37mews_000012_000022,/n/fs/visualai-scr/Data/HAT2/inpaint/drinking/s-vLJUmPmhA_000109_000119,/n/fs/visualai-scr/Data/HAT2/original/drinking/s-vLJUmPmhA_000109_000119,300,300,tying tie,drinking,ecNLf37mews,12,22,s-vLJUmPmhA,109,119,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/sample_000012_tying tie_to_drinking_ecNLf37mews_000012_000022_bg_s-vLJUmPmhA_000109_000119,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/segmented_action_swap/sample_000012_tying tie_to_drinking_ecNLf37mews_12_22_bg_s-vLJUmPmhA_109_119,"[{'class': 'person', 'confidence': 0.5739110112190247, 'bbox': [1.684478759765625, 1.0847396850585938, 463.7110290527344, 358.38934326171875]}, {'class': 'tie', 'confidence': 0.5194132328033447, 'bbox': [51.16168975830078, 30.245635986328125, 241.7263641357422, 359.68896484375]}, {'class': 'tie', 'confidence': 0.4516217112541199, 'bbox': [222.75823974609375, 6.7840118408203125, 278.521728515625, 318.82745361328125]}, {'class': 'tie', 'confidence': 0.30753466486930847, 'bbox': [51.17190170288086, 33.48017120361328, 180.5305633544922, 359.2348327636719]}]",dataset/segmented_action_swap/sample_000012_tying tie_to_drinking_ecNLf37mews_12_22_bg_s-vLJUmPmhA_109_119/bbox_img/bbox_image.jpg
