path_seg_A,path_original_A,path_inpaint_B,path_original_B,num_files_A,num_files_B,label_A,label_B,yt_id_A,time_start_A,time_end_A,yt_id_B,time_start_B,time_end_B,action_swap_path,hasPerson,segmented_path,bboxes_info,bbox_vis_path,mask_path
/n/fs/visualai-scr/Data/HAT2/seg/eating cake/4EZs8ShkVEk_000092_000102,/n/fs/visualai-scr/Data/HAT2/original/eating cake/4EZs8ShkVEk_000092_000102,/n/fs/visualai-scr/Data/HAT2/inpaint/brushing teeth/4LjTObjauus_000022_000032,/n/fs/visualai-scr/Data/HAT2/original/brushing teeth/4LjTObjauus_000022_000032,300,300,eating cake,brushing teeth,4EZs8ShkVEk,92,102,4LjTObjauus,22,32,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000048_eating cake_to_brushing teeth_4EZs8ShkVEk_000092_000102_bg_4LjTObjauus_000022_000032,False,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_segmented_action_swap/sample_000048_eating cake_to_brushing teeth_4EZs8ShkVEk_000092_000102_bg_4LjTObjauus_000022_000032,[],/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_segmented_action_swap/sample_000048_eating cake_to_brushing teeth_4EZs8ShkVEk_000092_000102_bg_4LjTObjauus_000022_000032/bbox_img/bbox_image.jpg,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_binarymask_action_swap/sample_000048_eating cake_to_brushing teeth_4EZs8ShkVEk_000092_000102_bg_4LjTObjauus_000022_000032
/n/fs/visualai-scr/Data/HAT2/seg/reading newspaper/-8oPwToqArE_000001_000011,/n/fs/visualai-scr/Data/HAT2/original/reading newspaper/-8oPwToqArE_000001_000011,/n/fs/visualai-scr/Data/HAT2/inpaint/sweeping floor/n5ZHSJRZl1U_000002_000012,/n/fs/visualai-scr/Data/HAT2/original/sweeping floor/n5ZHSJRZl1U_000002_000012,300,300,reading newspaper,sweeping floor,-8oPwToqArE,1,11,n5ZHSJRZl1U,2,12,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000052_reading newspaper_to_sweeping floor_-8oPwToqArE_000001_000011_bg_n5ZHSJRZl1U_000002_000012,False,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_segmented_action_swap/sample_000052_reading newspaper_to_sweeping floor_-8oPwToqArE_000001_000011_bg_n5ZHSJRZl1U_000002_000012,"[{'class': 'bottle', 'confidence': 0.6502900719642639, 'bbox': [248.82012939453125, 1.4852294921875, 319.7803955078125, 133.6834716796875]}, {'class': 'chair', 'confidence': 0.28075963258743286, 'bbox': [31.67926025390625, 123.59603881835938, 364.3106689453125, 355.0052185058594]}]",/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_segmented_action_swap/sample_000052_reading newspaper_to_sweeping floor_-8oPwToqArE_000001_000011_bg_n5ZHSJRZl1U_000002_000012/bbox_img/bbox_image.jpg,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_binarymask_action_swap/sample_000052_reading newspaper_to_sweeping floor_-8oPwToqArE_000001_000011_bg_n5ZHSJRZl1U_000002_000012
/n/fs/visualai-scr/Data/HAT2/seg/shooting basketball/jnTuUuETpSs_000002_000012,/n/fs/visualai-scr/Data/HAT2/original/shooting basketball/jnTuUuETpSs_000002_000012,/n/fs/visualai-scr/Data/HAT2/inpaint/dunking basketball/N8L8j0RTFdg_000025_000035,/n/fs/visualai-scr/Data/HAT2/original/dunking basketball/N8L8j0RTFdg_000025_000035,301,300,shooting basketball,dunking basketball,jnTuUuETpSs,2,12,N8L8j0RTFdg,25,35,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000060_shooting basketball_to_dunking basketball_jnTuUuETpSs_000002_000012_bg_N8L8j0RTFdg_000025_000035,False,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_segmented_action_swap/sample_000060_shooting basketball_to_dunking basketball_jnTuUuETpSs_000002_000012_bg_N8L8j0RTFdg_000025_000035,"[{'class': 'bench', 'confidence': 0.3665875494480133, 'bbox': [158.54547119140625, 234.34698486328125, 286.5423583984375, 285.60455322265625]}]",/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_segmented_action_swap/sample_000060_shooting basketball_to_dunking basketball_jnTuUuETpSs_000002_000012_bg_N8L8j0RTFdg_000025_000035/bbox_img/bbox_image.jpg,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_binarymask_action_swap/sample_000060_shooting basketball_to_dunking basketball_jnTuUuETpSs_000002_000012_bg_N8L8j0RTFdg_000025_000035
/n/fs/visualai-scr/Data/HAT2/seg/dunking basketball/Bl28qY8T6NA_000045_000055,/n/fs/visualai-scr/Data/HAT2/original/dunking basketball/Bl28qY8T6NA_000045_000055,/n/fs/visualai-scr/Data/HAT2/inpaint/playing accordion/2GhcqTJoEaI_000017_000027,/n/fs/visualai-scr/Data/HAT2/original/playing accordion/2GhcqTJoEaI_000017_000027,300,300,dunking basketball,playing accordion,Bl28qY8T6NA,45,55,2GhcqTJoEaI,17,27,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000092_dunking basketball_to_playing accordion_Bl28qY8T6NA_000045_000055_bg_2GhcqTJoEaI_000017_000027,False,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_segmented_action_swap/sample_000092_dunking basketball_to_playing accordion_Bl28qY8T6NA_000045_000055_bg_2GhcqTJoEaI_000017_000027,[],/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_segmented_action_swap/sample_000092_dunking basketball_to_playing accordion_Bl28qY8T6NA_000045_000055_bg_2GhcqTJoEaI_000017_000027/bbox_img/bbox_image.jpg,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_binarymask_action_swap/sample_000092_dunking basketball_to_playing accordion_Bl28qY8T6NA_000045_000055_bg_2GhcqTJoEaI_000017_000027
/n/fs/visualai-scr/Data/HAT2/seg/brushing hair/aXPsBVPYG_I_000029_000039,/n/fs/visualai-scr/Data/HAT2/original/brushing hair/aXPsBVPYG_I_000029_000039,/n/fs/visualai-scr/Data/HAT2/inpaint/sweeping floor/6s3LjZShb00_000003_000013,/n/fs/visualai-scr/Data/HAT2/original/sweeping floor/6s3LjZShb00_000003_000013,300,300,brushing hair,sweeping floor,aXPsBVPYG_I,29,39,6s3LjZShb00,3,13,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000096_brushing hair_to_sweeping floor_aXPsBVPYG_I_000029_000039_bg_6s3LjZShb00_000003_000013,False,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_segmented_action_swap/sample_000096_brushing hair_to_sweeping floor_aXPsBVPYG_I_000029_000039_bg_6s3LjZShb00_000003_000013,"[{'class': 'dog', 'confidence': 0.6113026738166809, 'bbox': [53.079769134521484, 42.610198974609375, 333.48553466796875, 315.14239501953125]}]",/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_segmented_action_swap/sample_000096_brushing hair_to_sweeping floor_aXPsBVPYG_I_000029_000039_bg_6s3LjZShb00_000003_000013/bbox_img/bbox_image.jpg,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_binarymask_action_swap/sample_000096_brushing hair_to_sweeping floor_aXPsBVPYG_I_000029_000039_bg_6s3LjZShb00_000003_000013
/n/fs/visualai-scr/Data/HAT2/seg/surfing water/3tKrqlMI8ZU_000053_000063,/n/fs/visualai-scr/Data/HAT2/original/surfing water/3tKrqlMI8ZU_000053_000063,/n/fs/visualai-scr/Data/HAT2/inpaint/smoking/SrIotBfD6BY_000001_000011,/n/fs/visualai-scr/Data/HAT2/original/smoking/SrIotBfD6BY_000001_000011,300,300,surfing water,smoking,3tKrqlMI8ZU,53,63,SrIotBfD6BY,1,11,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000120_surfing water_to_smoking_3tKrqlMI8ZU_000053_000063_bg_SrIotBfD6BY_000001_000011,False,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_segmented_action_swap/sample_000120_surfing water_to_smoking_3tKrqlMI8ZU_000053_000063_bg_SrIotBfD6BY_000001_000011,[],/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_segmented_action_swap/sample_000120_surfing water_to_smoking_3tKrqlMI8ZU_000053_000063_bg_SrIotBfD6BY_000001_000011/bbox_img/bbox_image.jpg,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_binarymask_action_swap/sample_000120_surfing water_to_smoking_3tKrqlMI8ZU_000053_000063_bg_SrIotBfD6BY_000001_000011
/n/fs/visualai-scr/Data/HAT2/seg/climbing ladder/n5Fr76ZUlrM_000004_000014,/n/fs/visualai-scr/Data/HAT2/original/climbing ladder/n5Fr76ZUlrM_000004_000014,/n/fs/visualai-scr/Data/HAT2/inpaint/archery/pWOl7B7jf0U_000000_000010,/n/fs/visualai-scr/Data/HAT2/original/archery/pWOl7B7jf0U_000000_000010,300,173,climbing ladder,archery,n5Fr76ZUlrM,4,14,pWOl7B7jf0U,0,10,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000124_climbing ladder_to_archery_n5Fr76ZUlrM_000004_000014_bg_pWOl7B7jf0U_000000_000010,False,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_segmented_action_swap/sample_000124_climbing ladder_to_archery_n5Fr76ZUlrM_000004_000014_bg_pWOl7B7jf0U_000000_000010,"[{'class': 'bird', 'confidence': 0.5497695207595825, 'bbox': [64.92281341552734, 341.3506164550781, 83.58734893798828, 386.4792175292969]}]",/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_segmented_action_swap/sample_000124_climbing ladder_to_archery_n5Fr76ZUlrM_000004_000014_bg_pWOl7B7jf0U_000000_000010/bbox_img/bbox_image.jpg,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_binarymask_action_swap/sample_000124_climbing ladder_to_archery_n5Fr76ZUlrM_000004_000014_bg_pWOl7B7jf0U_000000_000010
/n/fs/visualai-scr/Data/HAT2/seg/skiing (not slalom or crosscountry)/RTPV8oTyvvA_000143_000153,/n/fs/visualai-scr/Data/HAT2/original/skiing (not slalom or crosscountry)/RTPV8oTyvvA_000143_000153,/n/fs/visualai-scr/Data/HAT2/inpaint/sweeping floor/351SpPbC1Rs_000001_000011,/n/fs/visualai-scr/Data/HAT2/original/sweeping floor/351SpPbC1Rs_000001_000011,300,300,skiing (not slalom or crosscountry),sweeping floor,RTPV8oTyvvA,143,153,351SpPbC1Rs,1,11,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000172_skiing (not slalom or crosscountry)_to_sweeping floor_RTPV8oTyvvA_000143_000153_bg_351SpPbC1Rs_000001_000011,False,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_segmented_action_swap/sample_000172_skiing (not slalom or crosscountry)_to_sweeping floor_RTPV8oTyvvA_000143_000153_bg_351SpPbC1Rs_000001_000011,[],/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_segmented_action_swap/sample_000172_skiing (not slalom or crosscountry)_to_sweeping floor_RTPV8oTyvvA_000143_000153_bg_351SpPbC1Rs_000001_000011/bbox_img/bbox_image.jpg,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_binarymask_action_swap/sample_000172_skiing (not slalom or crosscountry)_to_sweeping floor_RTPV8oTyvvA_000143_000153_bg_351SpPbC1Rs_000001_000011
/n/fs/visualai-scr/Data/HAT2/seg/cleaning windows/X4JsKpVTBvQ_000004_000014,/n/fs/visualai-scr/Data/HAT2/original/cleaning windows/X4JsKpVTBvQ_000004_000014,/n/fs/visualai-scr/Data/HAT2/inpaint/reading newspaper/hqNe549GJwI_001340_001350,/n/fs/visualai-scr/Data/HAT2/original/reading newspaper/hqNe549GJwI_001340_001350,300,300,cleaning windows,reading newspaper,X4JsKpVTBvQ,4,14,hqNe549GJwI,1340,1350,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000232_cleaning windows_to_reading newspaper_X4JsKpVTBvQ_000004_000014_bg_hqNe549GJwI_001340_001350,False,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_segmented_action_swap/sample_000232_cleaning windows_to_reading newspaper_X4JsKpVTBvQ_000004_000014_bg_hqNe549GJwI_001340_001350,"[{'class': 'chair', 'confidence': 0.8773142695426941, 'bbox': [442.9989318847656, 132.38853454589844, 578.9549560546875, 305.7831726074219]}, {'class': 'laptop', 'confidence': 0.31274500489234924, 'bbox': [12.704657554626465, 218.69601440429688, 306.49188232421875, 359.6620788574219]}, {'class': 'keyboard', 'confidence': 0.2630719542503357, 'bbox': [498.1829833984375, 277.662841796875, 599.703857421875, 359.69744873046875]}, {'class': 'keyboard', 'confidence': 0.2586881220340729, 'bbox': [558.8917846679688, 287.0282897949219, 599.8011474609375, 359.68487548828125]}]",/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_segmented_action_swap/sample_000232_cleaning windows_to_reading newspaper_X4JsKpVTBvQ_000004_000014_bg_hqNe549GJwI_001340_001350/bbox_img/bbox_image.jpg,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_binarymask_action_swap/sample_000232_cleaning windows_to_reading newspaper_X4JsKpVTBvQ_000004_000014_bg_hqNe549GJwI_001340_001350
/n/fs/visualai-scr/Data/HAT2/seg/climbing ladder/4j5wrw-oqfs_000005_000015,/n/fs/visualai-scr/Data/HAT2/original/climbing ladder/4j5wrw-oqfs_000005_000015,/n/fs/visualai-scr/Data/HAT2/inpaint/drinking/NL7LV4okwLs_000111_000121,/n/fs/visualai-scr/Data/HAT2/original/drinking/NL7LV4okwLs_000111_000121,204,218,climbing ladder,drinking,4j5wrw-oqfs,5,15,NL7LV4okwLs,111,121,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000268_climbing ladder_to_drinking_4j5wrw-oqfs_000005_000015_bg_NL7LV4okwLs_000111_000121,False,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_segmented_action_swap/sample_000268_climbing ladder_to_drinking_4j5wrw-oqfs_000005_000015_bg_NL7LV4okwLs_000111_000121,[],/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_segmented_action_swap/sample_000268_climbing ladder_to_drinking_4j5wrw-oqfs_000005_000015_bg_NL7LV4okwLs_000111_000121/bbox_img/bbox_image.jpg,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/new_binarymask_action_swap/sample_000268_climbing ladder_to_drinking_4j5wrw-oqfs_000005_000015_bg_NL7LV4okwLs_000111_000121
