label,youtube_id,time_start,time_end,original_path,segmented_path,background_only_path,has_original,has_segmented,has_background
archery,-Qz25rXdMjE,14,24,/n/fs/visualai-scr/Data/HAT2/original/archery/-Qz25rXdMjE_000014_000024,/n/fs/visualai-scr/Data/HAT2/seg/archery/-Qz25rXdMjE_000014_000024,/n/fs/visualai-scr/Data/HAT2/inpaint/archery/-Qz25rXdMjE_000014_000024,True,True,True
archery,-UJgyiWe500,29,39,/n/fs/visualai-scr/Data/HAT2/original/archery/-UJgyiWe500_000029_000039,/n/fs/visualai-scr/Data/HAT2/seg/archery/-UJgyiWe500_000029_000039,/n/fs/visualai-scr/Data/HAT2/inpaint/archery/-UJgyiWe500_000029_000039,True,True,True
archery,0S-P4lr_c7s,22,32,/n/fs/visualai-scr/Data/HAT2/original/archery/0S-P4lr_c7s_000022_000032,/n/fs/visualai-scr/Data/HAT2/seg/archery/0S-P4lr_c7s_000022_000032,/n/fs/visualai-scr/Data/HAT2/inpaint/archery/0S-P4lr_c7s_000022_000032,True,True,True
archery,27jJKXiB9Y8,9,19,/n/fs/visualai-scr/Data/HAT2/original/archery/27jJKXiB9Y8_000009_000019,/n/fs/visualai-scr/Data/HAT2/seg/archery/27jJKXiB9Y8_000009_000019,/n/fs/visualai-scr/Data/HAT2/inpaint/archery/27jJKXiB9Y8_000009_000019,True,True,True
archery,2x1lIrgKxYo,589,599,/n/fs/visualai-scr/Data/HAT2/original/archery/2x1lIrgKxYo_000589_000599,/n/fs/visualai-scr/Data/HAT2/seg/archery/2x1lIrgKxYo_000589_000599,/n/fs/visualai-scr/Data/HAT2/inpaint/archery/2x1lIrgKxYo_000589_000599,True,True,True
archery,36E29x22tnQ,18,28,/n/fs/visualai-scr/Data/HAT2/original/archery/36E29x22tnQ_000018_000028,/n/fs/visualai-scr/Data/HAT2/seg/archery/36E29x22tnQ_000018_000028,/n/fs/visualai-scr/Data/HAT2/inpaint/archery/36E29x22tnQ_000018_000028,True,True,True
archery,3and4vWkW4s,11,21,/n/fs/visualai-scr/Data/HAT2/original/archery/3and4vWkW4s_000011_000021,/n/fs/visualai-scr/Data/HAT2/seg/archery/3and4vWkW4s_000011_000021,/n/fs/visualai-scr/Data/HAT2/inpaint/archery/3and4vWkW4s_000011_000021,True,True,True
archery,3hoSk280ndk,25,35,/n/fs/visualai-scr/Data/HAT2/original/archery/3hoSk280ndk_000025_000035,/n/fs/visualai-scr/Data/HAT2/seg/archery/3hoSk280ndk_000025_000035,/n/fs/visualai-scr/Data/HAT2/inpaint/archery/3hoSk280ndk_000025_000035,True,True,True
archery,4hxnP0stMN0,3,13,/n/fs/visualai-scr/Data/HAT2/original/archery/4hxnP0stMN0_000003_000013,/n/fs/visualai-scr/Data/HAT2/seg/archery/4hxnP0stMN0_000003_000013,/n/fs/visualai-scr/Data/HAT2/inpaint/archery/4hxnP0stMN0_000003_000013,True,True,True
archery,4wXnaqEDh3c,14,24,/n/fs/visualai-scr/Data/HAT2/original/archery/4wXnaqEDh3c_000014_000024,/n/fs/visualai-scr/Data/HAT2/seg/archery/4wXnaqEDh3c_000014_000024,/n/fs/visualai-scr/Data/HAT2/inpaint/archery/4wXnaqEDh3c_000014_000024,True,True,True
