label,youtube_id,time_start,time_end,split,full_path,num_files
dribbling basketball,--4-0ihtnBU,58,68,train,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/dribbling basketball/--4-0ihtnBU_000058_000068,113
playing tennis,--56QUhyDQM,185,195,train,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/playing tennis/--56QUhyDQM_000185_000195,300
climbing a rope,--EaS9P7ZdQ,13,23,train,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/climbing a rope/--EaS9P7ZdQ_000013_000023,300
brushing teeth,--IPbe5ZMCI,2,12,train,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/brushing teeth/--IPbe5ZMCI_000002_000012,300
skiing (not slalom or crosscountry),--TBx-Spzis,148,158,train,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/skiing (not slalom or crosscountry)/--TBx-Spzis_000148_000158,300
hurdling,--VnA3ztuZg,57,67,train,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/hurdling/--VnA3ztuZg_000057_000067,300
drinking,--uWuXty1jw,27,37,train,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/drinking/--uWuXty1jw_000027_000037,193
sword fighting,--vs4LFYKc8,273,283,train,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/sword fighting/--vs4LFYKc8_000273_000283,300
canoeing or kayaking,-0JU38ZQOlY,0,10,train,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/canoeing or kayaking/-0JU38ZQOlY_000000_000010,300
skipping rope,-0WBheGENmk,9,19,train,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/skipping rope/-0WBheGENmk_000009_000019,300
shooting basketball,-0cOo0cRVZU,8,18,train,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/shooting basketball/-0cOo0cRVZU_000008_000018,300
flying kite,-0yuyrbruYM,79,89,train,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/flying kite/-0yuyrbruYM_000079_000089,300
climbing ladder,-1KMJ1BZ2mU,17,27,train,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/climbing ladder/-1KMJ1BZ2mU_000017_000027,300
hitting baseball,-1QdDpPLoU0,0,10,train,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/hitting baseball/-1QdDpPLoU0_000000_000010,300
archery,-1q7jA3DXQM,5,15,train,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/archery/-1q7jA3DXQM_000005_000015,300
walking the dog,-2-2p5R_ujo,162,172,train,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/walking the dog/-2-2p5R_ujo_000162_000172,300
golf driving,-2KvnLMnrA0,0,10,train,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/golf driving/-2KvnLMnrA0_000000_000010,145
playing accordion,-2hoixBAoJ4,346,356,train,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/playing accordion/-2hoixBAoJ4_000346_000356,300
playing guitar,-3EZyImLCXk,3,13,train,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/playing guitar/-3EZyImLCXk_000003_000013,300
playing trumpet,-3Nz5NOgpXM,57,67,train,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/playing trumpet/-3Nz5NOgpXM_000057_000067,300
smoking,-3oeeJz_bjk,9,19,train,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/smoking/-3oeeJz_bjk_000009_000019,300
tying tie,-3x5jizdxd8,112,122,train,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/tying tie/-3x5jizdxd8_000112_000122,300
playing bass guitar,-4rho9cuCfk,14,24,train,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/playing bass guitar/-4rho9cuCfk_000014_000024,301
playing basketball,-5FtgMgevX0,14,24,train,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/playing basketball/-5FtgMgevX0_000014_000024,300
punching person (boxing),-7CK7Pv9a44,138,148,train,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/punching person (boxing)/-7CK7Pv9a44_000138_000148,300
eating cake,-7yNDPMfE4Q,6,16,train,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/eating cake/-7yNDPMfE4Q_000006_000016,300
clean and jerk,-7zwbDtxAog,16,26,train,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/clean and jerk/-7zwbDtxAog_000016_000026,300
dunking basketball,-887Ct0ZIXU,4,14,train,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/dunking basketball/-887Ct0ZIXU_000004_000014,300
playing saxophone,-8CTFoCnaY8,0,10,train,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/playing saxophone/-8CTFoCnaY8_000000_000010,300
eating ice cream,-8dDh2JSy_E,3,13,train,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/eating ice cream/-8dDh2JSy_E_000003_000013,301
