label,youtube_id,time_start,time_end,full_path,num_files,hasPerson,segmented_path,mask_path,bboxes_info,bbox_vis_path
playing guitar,G_3kwIzNN3g,50,57,/n/fs/visualai-scr/Data/Mimetics2/playing guitar/G_3kwIzNN3g_000050_000057,210,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/mimetics/new_segmented_mimetics/playing guitar/G_3kwIzNN3g_000050_000057,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/mimetics/new_binarymasks_mimetics/playing guitar/G_3kwIzNN3g_000050_000057,"[{'class': 'person', 'confidence': 0.6300770044326782, 'bbox': [206.78952026367188, 34.65403747558594, 346.59246826171875, 338.62982177734375]}, {'class': 'cup', 'confidence': 0.36593979597091675, 'bbox': [267.0943908691406, 322.40081787109375, 370.5065002441406, 359.7962646484375]}]",/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/mimetics/new_segmented_mimetics/playing guitar/G_3kwIzNN3g_000050_000057/bbox_img/bbox_image.jpg
playing guitar,j8lFuauKYlg,20,25,/n/fs/visualai-scr/Data/Mimetics2/playing guitar/j8lFuauKYlg_000020_000025,120,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/mimetics/new_segmented_mimetics/playing guitar/j8lFuauKYlg_000020_000025,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/mimetics/new_binarymasks_mimetics/playing guitar/j8lFuauKYlg_000020_000025,"[{'class': 'person', 'confidence': 0.8243025541305542, 'bbox': [224.32791137695312, 44.56455993652344, 265.1772766113281, 93.86821746826172]}, {'class': 'person', 'confidence': 0.8103712797164917, 'bbox': [287.32415771484375, 44.29806137084961, 321.2105712890625, 89.36293029785156]}, {'class': 'person', 'confidence': 0.7968969941139221, 'bbox': [0.4437875747680664, 45.030521392822266, 125.93601989746094, 308.89495849609375]}, {'class': 'person', 'confidence': 0.6410858035087585, 'bbox': [304.22088623046875, 77.01729583740234, 416.17364501953125, 277.9646301269531]}, {'class': 'suitcase', 'confidence': 0.6285443305969238, 'bbox': [141.1656951904297, 239.71177673339844, 257.1311950683594, 291.1888732910156]}, {'class': 'person', 'confidence': 0.5429812669754028, 'bbox': [448.67724609375, 44.712646484375, 470.61846923828125, 84.24562072753906]}, {'class': 'person', 'confidence': 0.5377185344696045, 'bbox': [303.57501220703125, 77.06153869628906, 471.50823974609375, 276.55078125]}, {'class': 'person', 'confidence': 0.4755241870880127, 'bbox': [342.95166015625, 44.57077407836914, 376.9048156738281, 89.00959014892578]}, {'class': 'backpack', 'confidence': 0.2850245237350464, 'bbox': [329.0025634765625, 117.3392333984375, 396.70794677734375, 192.09353637695312]}]",/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/mimetics/new_segmented_mimetics/playing guitar/j8lFuauKYlg_000020_000025/bbox_img/bbox_image.jpg
playing guitar,WQ8E-AVgcUw,20,30,/n/fs/visualai-scr/Data/Mimetics2/playing guitar/WQ8E-AVgcUw_000020_000030,250,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/mimetics/new_segmented_mimetics/playing guitar/WQ8E-AVgcUw_000020_000030,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/mimetics/new_binarymasks_mimetics/playing guitar/WQ8E-AVgcUw_000020_000030,"[{'class': 'person', 'confidence': 0.7401229739189148, 'bbox': [443.9147644042969, 162.19479370117188, 489.6597595214844, 266.4821472167969]}, {'class': 'person', 'confidence': 0.5841900706291199, 'bbox': [324.75714111328125, 149.94656372070312, 350.39813232421875, 228.12478637695312]}, {'class': 'person', 'confidence': 0.40942591428756714, 'bbox': [306.41412353515625, 146.5035858154297, 333.12847900390625, 229.00721740722656]}]",/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/mimetics/new_segmented_mimetics/playing guitar/WQ8E-AVgcUw_000020_000030/bbox_img/bbox_image.jpg
playing guitar,jJPCbVsrQbw,0,2,/n/fs/visualai-scr/Data/Mimetics2/playing guitar/jJPCbVsrQbw_000000_000002,60,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/mimetics/new_segmented_mimetics/playing guitar/jJPCbVsrQbw_000000_000002,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/mimetics/new_binarymasks_mimetics/playing guitar/jJPCbVsrQbw_000000_000002,"[{'class': 'person', 'confidence': 0.9239203333854675, 'bbox': [356.50341796875, 39.7825927734375, 895.496337890625, 711.4911499023438]}]",/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/mimetics/new_segmented_mimetics/playing guitar/jJPCbVsrQbw_000000_000002/bbox_img/bbox_image.jpg
playing guitar,v3K8cu6dT9s,20,30,/n/fs/visualai-scr/Data/Mimetics2/playing guitar/v3K8cu6dT9s_000020_000030,300,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/mimetics/new_segmented_mimetics/playing guitar/v3K8cu6dT9s_000020_000030,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/mimetics/new_binarymasks_mimetics/playing guitar/v3K8cu6dT9s_000020_000030,"[{'class': 'person', 'confidence': 0.5810947418212891, 'bbox': [57.325408935546875, 6.557464599609375, 316.700927734375, 239.94874572753906]}, {'class': 'person', 'confidence': 0.5626141428947449, 'bbox': [130.4751434326172, 20.196746826171875, 203.1305694580078, 148.30857849121094]}]",/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/mimetics/new_segmented_mimetics/playing guitar/v3K8cu6dT9s_000020_000030/bbox_img/bbox_image.jpg
bowling,-xdBnY59MyY,108,112,/n/fs/visualai-scr/Data/Mimetics2/bowling/-xdBnY59MyY_000108_000112,100,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/mimetics/new_segmented_mimetics/bowling/-xdBnY59MyY_000108_000112,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/mimetics/new_binarymasks_mimetics/bowling/-xdBnY59MyY_000108_000112,"[{'class': 'person', 'confidence': 0.8448243141174316, 'bbox': [0.025398729369044304, 56.28152084350586, 226.09539794921875, 357.5732116699219]}, {'class': 'tv', 'confidence': 0.5924497246742249, 'bbox': [416.962646484375, 96.75064086914062, 586.189208984375, 221.08062744140625]}]",/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/mimetics/new_segmented_mimetics/bowling/-xdBnY59MyY_000108_000112/bbox_img/bbox_image.jpg
bowling,a9xyg4iz7KM,3,5,/n/fs/visualai-scr/Data/Mimetics2/bowling/a9xyg4iz7KM_000003_000005,60,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/mimetics/new_segmented_mimetics/bowling/a9xyg4iz7KM_000003_000005,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/mimetics/new_binarymasks_mimetics/bowling/a9xyg4iz7KM_000003_000005,"[{'class': 'person', 'confidence': 0.7983003854751587, 'bbox': [203.48101806640625, 257.33929443359375, 324.38018798828125, 429.149658203125]}]",/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/mimetics/new_segmented_mimetics/bowling/a9xyg4iz7KM_000003_000005/bbox_img/bbox_image.jpg
bowling,9ysdRIode6A,105,108,/n/fs/visualai-scr/Data/Mimetics2/bowling/9ysdRIode6A_000105_000108,90,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/mimetics/new_segmented_mimetics/bowling/9ysdRIode6A_000105_000108,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/mimetics/new_binarymasks_mimetics/bowling/9ysdRIode6A_000105_000108,"[{'class': 'person', 'confidence': 0.9129180908203125, 'bbox': [891.42919921875, 116.27459716796875, 1279.128173828125, 714.3243408203125]}, {'class': 'person', 'confidence': 0.8640908598899841, 'bbox': [116.95643615722656, 51.61151123046875, 540.6300048828125, 714.466796875]}]",/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/mimetics/new_segmented_mimetics/bowling/9ysdRIode6A_000105_000108/bbox_img/bbox_image.jpg
playing saxophone,7LTKAifeIgQ,5,15,/n/fs/visualai-scr/Data/Mimetics2/playing saxophone/7LTKAifeIgQ_000005_000015,300,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/mimetics/new_segmented_mimetics/playing saxophone/7LTKAifeIgQ_000005_000015,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/mimetics/new_binarymasks_mimetics/playing saxophone/7LTKAifeIgQ_000005_000015,"[{'class': 'person', 'confidence': 0.9395995736122131, 'bbox': [226.02638244628906, 116.59671020507812, 403.38427734375, 356.6487121582031]}]",/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/mimetics/new_segmented_mimetics/playing saxophone/7LTKAifeIgQ_000005_000015/bbox_img/bbox_image.jpg
playing saxophone,9qVfAdeiq0A,20,27,/n/fs/visualai-scr/Data/Mimetics2/playing saxophone/9qVfAdeiq0A_000020_000027,210,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/mimetics/new_segmented_mimetics/playing saxophone/9qVfAdeiq0A_000020_000027,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/mimetics/new_binarymasks_mimetics/playing saxophone/9qVfAdeiq0A_000020_000027,"[{'class': 'person', 'confidence': 0.6385751366615295, 'bbox': [68.24417114257812, 71.83148956298828, 198.22903442382812, 354.4131164550781]}]",/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/mimetics/new_segmented_mimetics/playing saxophone/9qVfAdeiq0A_000020_000027/bbox_img/bbox_image.jpg
