label,youtube_id,time_start,time_end,full_path,num_files,hasPerson,segmented_path,mask_path,bboxes_info,bbox_vis_path
brushing hair,pZSc5tEWZfk,58,68,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/brushing hair/pZSc5tEWZfk_000058_000068,301,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/minikinetics50/new_segmented_minikinetics50_train/brushing hair/pZSc5tEWZfk_000058_000068,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/minikinetics50/new_binarymasks_minikinetics50_train/brushing hair/pZSc5tEWZfk_000058_000068,"[{'class': 'person', 'confidence': 0.5772590041160583, 'bbox': [104.99085235595703, 74.2513198852539, 380.391357421875, 253.7407989501953]}, {'class': 'tv', 'confidence': 0.3711971938610077, 'bbox': [305.79833984375, 0.0, 383.8104248046875, 80.82205963134766]}, {'class': 'microwave', 'confidence': 0.2750401496887207, 'bbox': [0.4279541075229645, 27.106220245361328, 121.79595947265625, 190.580078125]}]",/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/minikinetics50/new_segmented_minikinetics50_train/brushing hair/pZSc5tEWZfk_000058_000068/bbox_img/bbox_image.jpg
smoking,pZXqfJP7AaI,49,59,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/smoking/pZXqfJP7AaI_000049_000059,300,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/minikinetics50/new_segmented_minikinetics50_train/smoking/pZXqfJP7AaI_000049_000059,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/minikinetics50/new_binarymasks_minikinetics50_train/smoking/pZXqfJP7AaI_000049_000059,"[{'class': 'person', 'confidence': 0.9006743431091309, 'bbox': [205.30014038085938, 3.645756721496582, 454.9440612792969, 252.63076782226562]}]",/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/minikinetics50/new_segmented_minikinetics50_train/smoking/pZXqfJP7AaI_000049_000059/bbox_img/bbox_image.jpg
playing violin,pmR1xi30294,225,235,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/playing violin/pmR1xi30294_000225_000235,300,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/minikinetics50/new_segmented_minikinetics50_train/playing violin/pmR1xi30294_000225_000235,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/minikinetics50/new_binarymasks_minikinetics50_train/playing violin/pmR1xi30294_000225_000235,"[{'class': 'person', 'confidence': 0.8002767562866211, 'bbox': [245.4109649658203, 44.054298400878906, 438.5074157714844, 249.759033203125]}, {'class': 'motorcycle', 'confidence': 0.3350178301334381, 'bbox': [283.0663146972656, 118.08065032958984, 427.31512451171875, 251.91493225097656]}, {'class': 'person', 'confidence': 0.3106288015842438, 'bbox': [0.7533239126205444, 42.86415481567383, 163.07920837402344, 251.816162109375]}]",/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/minikinetics50/new_segmented_minikinetics50_train/playing violin/pmR1xi30294_000225_000235/bbox_img/bbox_image.jpg
writing,png34PYKWno,261,271,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/writing/png34PYKWno_000261_000271,300,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/minikinetics50/new_segmented_minikinetics50_train/writing/png34PYKWno_000261_000271,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/minikinetics50/new_binarymasks_minikinetics50_train/writing/png34PYKWno_000261_000271,"[{'class': 'person', 'confidence': 0.8287994265556335, 'bbox': [325.4668273925781, 28.303762435913086, 455.7895812988281, 251.73277282714844]}, {'class': 'person', 'confidence': 0.35192593932151794, 'bbox': [0.15645731985569, 116.13823699951172, 63.03125762939453, 251.90536499023438]}]",/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/minikinetics50/new_segmented_minikinetics50_train/writing/png34PYKWno_000261_000271/bbox_img/bbox_image.jpg
catching or throwing baseball,poDy58YUZAU,2,12,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/catching or throwing baseball/poDy58YUZAU_000002_000012,300,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/minikinetics50/new_segmented_minikinetics50_train/catching or throwing baseball/poDy58YUZAU_000002_000012,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/minikinetics50/new_binarymasks_minikinetics50_train/catching or throwing baseball/poDy58YUZAU_000002_000012,"[{'class': 'person', 'confidence': 0.8497083187103271, 'bbox': [141.50802612304688, 160.43853759765625, 172.8782196044922, 241.4660186767578]}]",/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/minikinetics50/new_segmented_minikinetics50_train/catching or throwing baseball/poDy58YUZAU_000002_000012/bbox_img/bbox_image.jpg
playing guitar,psvGNV3WUu4,154,164,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/playing guitar/psvGNV3WUu4_000154_000164,299,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/minikinetics50/new_segmented_minikinetics50_train/playing guitar/psvGNV3WUu4_000154_000164,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/minikinetics50/new_binarymasks_minikinetics50_train/playing guitar/psvGNV3WUu4_000154_000164,"[{'class': 'person', 'confidence': 0.8090832233428955, 'bbox': [57.90385818481445, 20.37368392944336, 202.4817352294922, 253.2111053466797]}]",/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/minikinetics50/new_segmented_minikinetics50_train/playing guitar/psvGNV3WUu4_000154_000164/bbox_img/bbox_image.jpg
walking the dog,pvSPapMBkVo,0,10,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/walking the dog/pvSPapMBkVo_000000_000010,300,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/minikinetics50/new_segmented_minikinetics50_train/walking the dog/pvSPapMBkVo_000000_000010,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/minikinetics50/new_binarymasks_minikinetics50_train/walking the dog/pvSPapMBkVo_000000_000010,"[{'class': 'person', 'confidence': 0.7729483842849731, 'bbox': [43.859519958496094, 33.41189193725586, 180.3262176513672, 252.86122131347656]}, {'class': 'person', 'confidence': 0.33338654041290283, 'bbox': [30.95467758178711, 21.951189041137695, 261.4185485839844, 253.37548828125]}, {'class': 'person', 'confidence': 0.2599126696586609, 'bbox': [120.32420349121094, 20.29631805419922, 260.2747802734375, 252.83485412597656]}]",/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/minikinetics50/new_segmented_minikinetics50_train/walking the dog/pvSPapMBkVo_000000_000010/bbox_img/bbox_image.jpg
dribbling basketball,pwUDY1c8iQk,9,19,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/dribbling basketball/pwUDY1c8iQk_000009_000019,300,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/minikinetics50/new_segmented_minikinetics50_train/dribbling basketball/pwUDY1c8iQk_000009_000019,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/minikinetics50/new_binarymasks_minikinetics50_train/dribbling basketball/pwUDY1c8iQk_000009_000019,"[{'class': 'person', 'confidence': 0.7393192648887634, 'bbox': [166.1121826171875, 100.98324584960938, 202.7244415283203, 152.22003173828125]}]",/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/minikinetics50/new_segmented_minikinetics50_train/dribbling basketball/pwUDY1c8iQk_000009_000019/bbox_img/bbox_image.jpg
brushing teeth,pwvHlh3h5lE,0,10,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/brushing teeth/pwvHlh3h5lE_000000_000010,196,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/minikinetics50/new_segmented_minikinetics50_train/brushing teeth/pwvHlh3h5lE_000000_000010,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/minikinetics50/new_binarymasks_minikinetics50_train/brushing teeth/pwvHlh3h5lE_000000_000010,"[{'class': 'person', 'confidence': 0.9071378707885742, 'bbox': [0.0, 2.234130859375, 255.25161743164062, 255.822021484375]}]",/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/minikinetics50/new_segmented_minikinetics50_train/brushing teeth/pwvHlh3h5lE_000000_000010/bbox_img/bbox_image.jpg
eating ice cream,pygTt7Hhkm0,21,31,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/train/eating ice cream/pygTt7Hhkm0_000021_000031,300,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/minikinetics50/new_segmented_minikinetics50_train/eating ice cream/pygTt7Hhkm0_000021_000031,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/minikinetics50/new_binarymasks_minikinetics50_train/eating ice cream/pygTt7Hhkm0_000021_000031,"[{'class': 'person', 'confidence': 0.7970946431159973, 'bbox': [0.19391097128391266, 0.4643600285053253, 251.8420867919922, 451.17669677734375]}]",/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/minikinetics50/new_segmented_minikinetics50_train/eating ice cream/pygTt7Hhkm0_000021_000031/bbox_img/bbox_image.jpg
